PDB ID,Metabolism,SourceSet,EnzymeFamily,SourceSetDetail
1YQW,Anaerobic Hydrogen Metabolism,Legacy_FE_NI_shared_families,NiFe_hydrogenases,FE+NI_overlap
1ZXI,Anaerobic Acetogenesis,Legacy_FE_NI_shared_families,CODH,Legacy_FE_NI_shared_families
2C1D,Sulfur Oxidation,FeBinding_primary108,,FeBinding_primary108
2C1U,ROS Detox,FeBinding_primary108,,FeBinding_primary108
2C8S,Methane Oxidation,FeBinding_primary108,,FeBinding_primary108
2CTH,Anaerobic Sulfur Metabolism,FeBinding_primary108,,FeBinding_primary108
2D0W,Methane Oxidation,FeBinding_primary108,,FeBinding_primary108
2D3Q,ROS Detox,FeBinding_primary108,,FeBinding_primary108
2FRV,Anaerobic Hydrogen Metabolism,Legacy_FE_NI_shared_families,NiFe_hydrogenases,FE+NI_overlap
2GBX,Aromatic Dioxygenation,FeBinding_primary108,,FeBinding_primary108
2IVF,Anaerobic Aromatic Degradation,FeBinding_primary108,,FeBinding_primary108
2JE3,Nitrification,FeBinding_primary108,,FeBinding_primary108
2KAU,Nitrogen Metabolism,Ni_primary_expanded,Urease,Ni_primary_expanded
2NYA,Anaerobic Respiration,FeBinding_primary108,,FeBinding_primary108
2RDZ,ROS Detox,FeBinding_primary108,,FeBinding_primary108
2V4J,Sulfur Oxidation,FeBinding_primary108,,FeBinding_primary108
2VPZ,Anaerobic Respiration,FeBinding_primary108,,FeBinding_primary108
2WL9,Aromatic Dioxygenation,FeBinding_primary108,,FeBinding_primary108
3AG3,Unknown,FeBinding_primary108,,FeBinding_primary108
3B52,Anaerobic Acetogenesis,Legacy_FE_NI_shared_families,CODH,FE+NI_overlap
3BXU,Sulfur Oxidation,FeBinding_primary108,,FeBinding_primary108
3DHH,Methane Oxidation,FeBinding_primary108,,FeBinding_primary108
3DVE,Sulfur Oxidation,FeBinding_primary108,,FeBinding_primary108
3F9P,ROS Detox,FeBinding_primary108,,FeBinding_primary108
3GYX,Anaerobic Sulfur Metabolism,FeBinding_primary108,,FeBinding_primary108
